# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, -14.0633303, 5.2168520, -2.0282549, 0.3661113, 3.2283609, 0.4944563
0.4978295, -13.6004686, 5.0368173, -1.8587660, 0.3080518, 3.3037288, 2.1910463
0.9956590, -13.1157686, 4.9201172, -1.7779608, 0.0365314, 3.6188616, 1.5561859
1.4934886, -12.6285810, 4.8156101, -1.8002138, -0.1306952, 3.8269557, -1.9792282
1.9913181, -12.1493292, 4.6811040, -1.9017839, -0.2816286, 3.5601901, -0.9233334
2.4891476, -11.6945947, 4.4869313, -2.0467491, -0.2853647, 3.4286481, -0.9823720
2.9869771, -11.2702681, 4.2302342, -2.1803898, -0.2619298, 3.2829134, -1.2917566
3.4848066, -10.8818346, 3.9183812, -2.3159877, -0.2852186, 3.0808069, -0.8726523
3.9826362, -10.5412777, 3.5537125, -2.4678389, -0.3207160, 2.9364106, 0.7495511
4.4804657, -10.2637177, 3.1393417, -2.6376033, -0.3285904, 3.0608503, 1.2147073
4.9782952, -10.0535071, 2.6876778, -2.7612346, -0.1618518, 3.2524205, 2.5473878
5.4761247, -9.8771592, 2.2222306, -2.7744567, 0.1067701, 3.6214042, 0.6288383
5.9739542, -9.6849292, 1.7626041, -2.7130948, 0.1510842, 3.7068420, -1.8949765
6.4717838, -9.4557963, 1.3210799, -2.5993927, 0.2977004, 3.4429532, -1.1975292
6.9696133, -9.1715068, 0.9178676, -2.4589306, 0.2740791, 3.2652099, -0.9658618
7.4674428, -8.8322011, 0.5549171, -2.3195046, 0.2919162, 3.1144706, -1.1760634
7.9652723, -8.4421487, 0.2440208, -2.1650768, 0.3282862, 2.9204398, -0.3610824
8.4631018, -8.0066217, 0.0012977, -1.9908312, 0.3613589, 2.8582256, 0.6793019
8.9609314, -7.5361655, -0.1597017, -1.8143877, 0.3166632, 2.9741901, 1.5442129
9.4587609, -7.0464528, -0.2455276, -1.6845529, 0.1943927, 3.2223154, 2.0103227
9.9565904, -6.5500783, -0.2826232, -1.6114429, 0.1259771, 3.5192204, 2.1059478
10.4544199, -6.0521956, -0.2883149, -1.5556144, 0.0952740, 3.8054853, 2.2324780
10.9522495, -5.5544076, -0.2703258, -1.5163929, 0.0631674, 4.0871145, 2.3852568
11.4500790, -5.0573746, -0.2366290, -1.4922519, 0.0337959, 4.3679981, 2.5274449
11.9479085, -4.5609572, -0.1945342, -1.4823749, 0.0070738, 4.6471369, 2.2865463
12.4457380, -4.0647862, -0.1507111, -1.4854022, -0.0219116, 4.8859494, 1.1324141
12.9435675, -3.5685398, -0.1123980, -1.5044882, -0.0496082, 5.0000000, 0.0000000
13.4413971, -3.0717065, -0.0861090, -1.5321698, -0.0582839, 5.0000000, 0.0000000
13.9392266, -2.5741533, -0.0740773, -1.5610522, -0.0582818, 5.0000000, -0.4190394
14.4370561, -2.0764297, -0.0764913, -1.5901111, -0.0558100, 4.9581024, -1.8438506
14.9348856, -1.5790196, -0.0925448, -1.6147475, -0.0391330, 4.7693745, -3.0719736
15.4327151, -1.0820150, -0.1179991, -1.6262261, -0.0010126, 4.4371494, -3.0099993
15.9305447, -0.5849971, -0.1433041, -1.6120368, 0.0620591, 4.0855063, -2.5959972
16.4283742, -0.0874228, -0.1529877, -1.5621878, 0.1384062, 3.7558799, -1.8971435
16.9262037, 0.4094082, -0.1284309, -1.4747337, 0.2059508, 3.4953863, -1.0930369
17.4240332, 0.9018224, -0.0539886, -1.3644411, 0.2327816, 3.3360806, -0.8507135
17.9218627, 1.3828497, 0.0771745, -1.2422410, 0.2607071, 3.2066202, -1.1541402
18.4196923, 1.8417377, 0.2690826, -1.1028744, 0.3105236, 3.0221322, -1.4931958
18.9175218, 2.2679230, 0.5282313, -0.9428816, 0.3470191, 2.7652430, -1.9807262
19.4153513, 2.6429708, 0.8534460, -0.7659138, 0.4605451, 2.3821085, -0.6337514
19.9131808, 2.9297802, 1.2469387, -0.4855676, 0.5963880, 2.2457606, 1.3684378
20.4110103, 3.1001689, 1.7151167, -0.2355661, 0.3607415, 2.5309955, 2.1405165
20.9088399, 3.1816060, 2.2089587, -0.1128546, 0.1154891, 2.9218424, 2.4422009
21.4066694, 3.2309282, 2.7072377, -0.0926589, 0.0047070, 3.3119122, 2.5164015
21.9044989, 3.2781976, 3.2042671, -0.0985476, -0.0161381, 3.6707275, 2.6100944
22.4023284, 3.3291773, 3.6991298, -0.1071585, -0.0208251, 4.0091151, 2.5802016
22.9001579, 3.3853670, 4.1935994, -0.1200762, -0.0321470, 4.3176388, 1.4091961
23.3979875, 3.4494489, 4.6871506, -0.1387698, -0.0389470, 4.4771737, -1.2812447
23.8958170, 3.5228480, 5.1792447, -0.1562418, -0.0239862, 4.3323667, -2.9894685
24.3936465, 3.6016812, 5.6704089, -0.1576342, 0.0328111, 3.9740294, -2.7552461
24.8914760, 3.6718670, 6.1629147, -0.1170350, 0.1366372, 3.6124264, -1.8337022
25.3893055, 3.7082952, 6.6588313, -0.0210107, 0.2363848, 3.3502063, -0.7586650
25.8871351, 3.6872015, 7.1554245, 0.1095192, 0.2744728, 3.2355077, -0.9444745
26.3849646, 3.5993088, 7.6464962, 0.2437352, 0.2639142, 3.0867679, -1.3283789
26.8827941, 3.4461677, 8.1220187, 0.3827352, 0.2982232, 2.8645285, -1.6918009
27.3806236, 3.2247359, 8.5686940, 0.5423170, 0.3346695, 2.5536379, -2.2705996
27.8784531, 2.9427119, 8.9710609, 0.6718439, 0.3277775, 2.0640551, -2.3195021
28.3762827, 2.5914074, 9.2038077, 0.9300891, 0.9507984, 1.3967427, -0.7184362
28.8741122, 2.1352214, 9.3092066, 1.8682613, 1.7949451, 1.1115632, 1.1397718
29.3719417, 1.7308937, 9.1098189, 2.4794865, 0.8134125, 1.5396093, 2.5901788
29.8697712, 1.4733382, 8.7019985, 2.6422198, 0.0076087, 2.2247093, 2.0067782
30.3676008, 1.2527880, 8.2601336, 2.7523964, 0.4081068, 2.6357918, 1.9286673
30.8654303, 1.1107970, 7.7894042, 2.9351038, 0.2911251, 2.9778673, 1.9924912
31.3632598, 1.0355850, 7.2966467, 3.0289394, 0.0959844, 3.2941669, 1.4160340
31.8610893, 0.9855822, 6.7964245, 3.0451433, -0.0255818, 3.5016314, -2.6255480
32.3589188, 0.9290587, 6.3025747, 2.9977075, -0.1779368, 3.1060058, -2.4702319
32.8567484, 0.8266337, 5.8148755, 2.8480871, -0.4644281, 2.6810004, -1.3164066
33.3545779, 0.6246171, 5.3635636, 2.5923300, -0.4943124, 2.4242671, -0.1067080
33.8524074, 0.3144978, 4.9773169, 2.3355447, -0.5152196, 2.4022544, -0.1108600
34.3502369, -0.0849284, 4.6799235, 2.0873897, -0.5002943, 2.3791695, -0.8067463
34.8480664, -0.5457477, 4.4939628, 1.8111435, -0.5811613, 2.2039064, -0.2839334
35.3458960, -1.0388775, 4.4296009, 1.6232582, -0.1912223, 2.1388086, 2.2837702
35.8437255, -1.5362585, 4.4202750, 1.5704843, -0.0206165, 2.6169369, 2.8153709
36.3415550, -2.0339084, 4.4212356, 1.5707809, 0.0206132, 3.1066877, 2.7747065
36.8393845, -2.5316332, 4.4182785, 1.5834659, 0.0286780, 3.5233748, 2.7022666
37.3372140, -3.0294631, 4.4093859, 1.5919469, 0.0051709, 3.8864774, 2.6731319
37.8350436, -3.5272687, 4.4001093, 1.5832036, -0.0395503, 4.2150011, -2.6919209
38.3328731, -4.0248773, 4.3995774, 1.5591390, -0.0565754, 3.8840699, -1.2866421
38.8307026, -4.5223044, 4.4086068, 1.5554849, 0.0485248, 3.7155002, -2.3261202
39.3285321, -5.0195470, 4.4055780, 1.6076387, 0.1601225, 3.3895308, -2.3364267
39.8263616, -5.5158397, 4.3684762, 1.6713895, 0.0463781, 3.0269845, -2.3408359
40.3241912, -6.0141724, 4.3204070, 1.6433298, -0.1800607, 2.6138019, -0.5808948
40.8220207, -6.5159563, 4.3173977, 1.4965163, -0.3484924, 2.5007174, 0.5014625
41.3198502, -7.0095363, 4.4025221, 1.2979386, -0.4050437, 2.5986291, -0.4246195
41.8176797, -7.4621784, 4.5805496, 1.0795458, -0.5412012, 2.5159684, -1.3075130
42.3155092, -7.8597256, 4.8631541, 0.8202881, -0.5717905, 2.2423781, -1.0419499
42.8133388, -8.1741028, 5.2514393, 0.5434801, -0.5615489, 1.9977069, -0.9142318
43.3111683, -8.2537891, 5.7125423, 0.2255936, -0.6982301, 1.7551552, -0.7936785
43.8089978, -8.1540354, 6.2132611, -0.1598350, -0.9081728, 1.5133858, -0.2105116
44.3068273, -8.0548224, 6.4541969, -0.7728792, -1.2849884, 1.4424766, 1.3069610
44.8046568, -7.7467476, 6.7010565, -1.2972044, -0.9297103, 1.8390286, 2.7012290
45.3024864, -7.2569647, 6.9634364, -1.4878067, 0.1765948, 2.4640473, 2.5911757
45.8003159, -6.7645052, 7.0130421, -1.4783320, -0.0910716, 2.9413359, 2.4965445
46.2981454, -6.2664778, 7.0513307, -1.5038338, -0.0186341, 3.3372390, 2.5245844
46.7959749, -5.7689529, 7.0843584, -1.5014526, 0.0265602, 3.6946974, -1.2939920
47.2938044, -5.2725199, 7.1252184, -1.4694727, 0.1036766, 3.5160225, -2.1910770
47.7916340, -4.7775407, 7.1920347, -1.3965268, 0.1918046, 3.1907442, -2.1241081
48.2894635, -4.2928790, 7.3059920, -1.2741632, 0.3007846, 2.8400636, -1.7320515
48.7872930, -3.8346029, 7.4908773, -1.0837184, 0.4908798, 2.5182193, -1.2339746
49.2851225, -3.4317814, 7.7775762, -0.8176308, 0.5460174, 2.2611525, -0.8029142
49.7829521, -3.1187987, 8.1660144, -0.5364680, 0.5781398, 2.0768683, -0.5132366
50.2807816, -2.9319031, 8.6280549, -0.2256870, 0.6525099, 1.9499675, -0.2557621
50.7786111, -2.9050550, 9.1249195, 0.1251586, 0.7246868, 1.8835396, -0.0828031
51.2764406, -3.0570695, 9.5955075, 0.5101437, 0.8206165, 1.8615256, 0.0335122
51.7742701, -3.3746334, 9.9681228, 0.8938892, 0.7342074, 1.8704663, 0.4462530
52.2720997, -3.8053685, 10.2082049, 1.2217023, 0.6322615, 1.9856888, 0.3217260
52.7699292, -4.2930118, 10.3037533, 1.5258258, 0.5605213, 2.0647735, 0.6748079
53.2677587, -4.7884534, 10.2596302, 1.7852998, 0.4670640, 2.2215238, 1.4144367
53.7655882, -5.2596809, 10.1040859, 1.9759517, 0.2615283, 2.5186236, 2.0416548
54.2634177, -5.7082757, 9.8868398, 2.0514271, 0.0624860, 2.8941764, 2.4370327
54.7612473, -6.1512798, 9.6539178, 2.0476469, -0.0677432, 3.2867477, 0.2965108
